DATA ENTRADA;DATA ULTIMA SAIDA;;LOJA/FILIAL;;;ADULTO/INFANTIL;;;GENERO;NUMERACAO/CALC;;ENTRADA ESTOQUE;TOTAL DE SAIDA;ID_PROD;NOME PROD;COLEÇÃO;;;VALOR UNITARIO;VALOR REPASSE
06/01/2017;11/01/2017;5;franquia;;;infantil;;;masculino;29;;281;47;5220;BIQUINI BOTTOM HAVAIANAS HIBISCO GI     ;verao;;; R$ 16,00 ; R$ 25,90 
06/01/2020;01/02/2020;26;Infantil;;;infantil;;;unisex;27;;158;48;6227;SANDALIA HAVAIANAS KIDS MONSTERS        ;inverno;;; R$ 15,90 ; R$ 26,90 
06/01/2017;27/01/2017;21;franquia;;;adulto;;;unisex;40;;323;70;8259;TOALHA HAVAIANAS FUN                    ;edição limitada;;; R$ 32,90 ; R$ 42,90 
06/01/2017;24/01/2017;18;franquia;;;infantil;;;unisex;24;;273;84;5220;BIQUINI BOTTOM HAVAIANAS HIBISCO GI     ;verao;;; R$ 16,00 ; R$ 25,90 
06/01/2020;31/01/2020;25;franquia;;;adulto;;;feminino;30;;319;92;6224;SANDALIA HAVAIANAS KIDS FLORES;inverno;;; R$ 25,90 ; R$ 36,90 
06/01/2017;23/01/2017;17;Infantil;;;adulto;;;feminino;41;;308;71;8257;MEIA HAVAIANAS FRESH                    ;edição limitada;;; R$ 32,90 ; R$ 42,90 
06/01/2017;07/02/2017;32;Infantil;;;adulto;;;masculino;34;;97;95;7237;BLUSA HAVAIANAS TS QUADRADA             ;outono;;; R$ 16,00 ; R$ 26,90 
06/01/2017;13/01/2017;7;Infantil;;;adulto;;;feminino;34;;167;68;5215;BIQUINI BOTTOM HAVAIANAS ARGOLA BRO     ;verao;;; R$ 16,90 ; R$ 25,90 
06/01/2017;02/02/2017;27;franquia;;;adulto;;;masculino;35;;63;54;5220;BIQUINI BOTTOM HAVAIANAS HIBISCO GI     ;verao;;; R$ 16,00 ; R$ 25,90 
06/01/2017;26/01/2017;20;franquia;;;infantil;;;feminino;29;;181;37;5217;BIQUINI BOTTOM HAVAIANAS SUNSET       ;verao;;; R$ 17,90 ; R$ 26,90 
06/01/2017;11/01/2017;5;franquia;;;adulto;;;unisex;37;;61;58;8246;BOLSA HAVAIANAS SHOPPING BAG            ;edição limitada;;; R$ 25,90 ; R$ 32,90 
06/01/2017;24/01/2017;18;franquia;;;infantil;;;feminino;17;;83;64;7231;BLUSA HAVAIANAS OMBRO DESL REDE CESTARIA;outono;;; R$ 16,90 ; R$ 26,90 
06/01/2017;21/01/2017;15;franquia;;;infantil;;;masculino;21;;153;56;7241;BLUSA HAVAIANAS QUADRADO DEC ABERTO     ;outono;;; R$ 21,90 ; R$ 32,90 
06/01/2017;11/01/2017;5;franquia;;;infantil;;;unisex;12;;106;92;5216;BIQUINI BOTTOM HAVAIANAS SUNSET PREM;verao;;; R$ 21,90 ; R$ 32,90 
06/01/2017;12/02/2017;37;franquia;;;adulto;;;unisex;43;;229;55;5218;BIQUINI BOTTOM HAVAIANAS HIBISC         ;verao;;; R$ 19,00 ; R$ 25,90 
06/01/2020;08/02/2020;33;Infantil;;;adulto;;;unisex;36;;201;93;6228;SANDALIA HAVAIANAS TROPICAL C/ KIT      ;inverno;;; R$ 15,90 ; R$ 26,90 
06/01/2017;11/02/2017;36;franquia;;;infantil;;;unisex;22;;289;58;7240;BLUSA M/C HAVAIANAS JAPONESA            ;outono;;; R$ 21,90 ; R$ 36,90 
06/01/2020;04/02/2020;29;franquia;;;infantil;;;feminino;29;;270;95;6221;SANDALIA HAVAIANAS JOY         ;inverno;;; R$ 25,90 ; R$ 36,90 
06/01/2017;05/02/2017;30;Infantil;;;infantil;;;feminino;20;;251;66;8262;CAPA HAVAIANAS SIL CELULAR 4            ;edição limitada;;; R$ 25,90 ; R$ 32,90 
06/01/2020;08/01/2020;2;franquia;;;adulto;;;feminino;44;;262;58;6225;SANDALIA HAVAIANAS KIDS STARS;inverno;;; R$ 15,90 ; R$ 26,90 
06/01/2017;11/01/2017;5;Infantil;;;adulto;;;unisex;43;;146;50;8264;BÓIA HAVAIANAS INFLÁVEL                 ;edição limitada;;; R$ 32,90 ; R$ 42,90 
06/01/2017;02/02/2017;27;Infantil;;;infantil;;;unisex;29;;95;41;7229;BLUSA HAVAIANAS TS REDE CESTARIA        ;outono;;; R$ 16,90 ; R$ 26,90 
06/01/2017;28/01/2017;22;Infantil;;;infantil;;;masculino;23;;207;71;7236;BLUSA HAVAIANAS EVASE                   ;outono;;; R$ 21,90 ; R$ 32,90 
06/01/2017;10/01/2017;4;Infantil;;;adulto;;;masculino;36;;84;64;5219;BIQUINI BOTTOM HAVAIANAS TREN;verao;;; R$ 16,00 ; R$ 26,90 
06/01/2020;26/01/2020;20;franquia;;;infantil;;;unisex;21;;130;50;6224;SANDALIA HAVAIANAS KIDS FLORES;inverno;;; R$ 15,90 ; R$ 26,90 
06/01/2017;11/02/2017;36;franquia;;;adulto;;;masculino;37;;349;45;7234;BLUSA HAVAIANAS TRANSPASSADO MIX        ;outono;;; R$ 16,00 ; R$ 26,90 
06/01/2020;10/01/2020;4;Infantil;;;infantil;;;masculino;23;;126;88;6221;SANDALIA HAVAIANAS JOY         ;inverno;;; R$ 20,90 ; R$ 36,90 
06/01/2017;21/01/2017;15;franquia;;;adulto;;;unisex;43;;292;44;5215;BIQUINI BOTTOM HAVAIANAS ARGOLA BRO     ;verao;;; R$ 16,90 ; R$ 25,90 
06/01/2020;11/02/2020;36;franquia;;;infantil;;;feminino;14;;184;72;6223;SANDALIA HAVAIANAS PETS                 ;inverno;;; R$ 15,90 ; R$ 26,90 
06/01/2017;11/02/2017;36;Infantil;;;infantil;;;feminino;22;;77;40;7234;BLUSA HAVAIANAS TRANSPASSADO MIX        ;outono;;; R$ 16,00 ; R$ 26,90 
06/01/2017;30/01/2017;24;franquia;;;infantil;;;feminino;12;;132;55;5218;BIQUINI BOTTOM HAVAIANAS HIBISC         ;verao;;; R$ 19,00 ; R$ 25,90 
06/01/2017;18/01/2017;12;franquia;;;infantil;;;feminino;24;;241;53;8259;TOALHA HAVAIANAS FUN                    ;edição limitada;;; R$ 32,90 ; R$ 42,90 
06/01/2017;20/01/2017;14;Infantil;;;infantil;;;feminino;11;;121;74;8266;TOALHA HAVAIANAS FUN N                  ;edição limitada;;; R$ 25,90 ; R$ 32,90 
06/01/2017;09/02/2017;34;franquia;;;adulto;;;feminino;38;;145;57;5218;BIQUINI BOTTOM HAVAIANAS HIBISC         ;verao;;; R$ 19,00 ; R$ 25,90 
06/01/2020;21/01/2020;15;Infantil;;;infantil;;;unisex;25;;77;36;6222;SANDALIA HAVAIANAS BABY ESTAMPAS        ;inverno;;; R$ 15,90 ; R$ 26,90 
06/01/2017;23/01/2017;17;franquia;;;adulto;;;feminino;44;;62;79;5217;BIQUINI BOTTOM HAVAIANAS SUNSET       ;verao;;; R$ 17,90 ; R$ 26,90 
06/01/2020;30/01/2020;24;franquia;;;infantil;;;feminino;20;;74;60;6224;SANDALIA HAVAIANAS KIDS FLORES;inverno;;; R$ 25,90 ; R$ 36,90 
07/01/2017;06/02/2017;30;Infantil;;;infantil;;;masculino;13;;206;83;8261;TOALHA HAVAIANAS HYPE                   ;edição limitada;;; R$ 32,90 ; R$ 42,90 
07/01/2017;09/01/2017;2;franquia;;;adulto;;;masculino;34;;313;88;5216;BIQUINI BOTTOM HAVAIANAS SUNSET PREM;verao;;; R$ 21,90 ; R$ 32,90 
07/01/2017;10/01/2017;3;Infantil;;;infantil;;;feminino;17;;315;89;8242;SACOLA HAVAIANAS ORIGINAL COQUEIRO      ;edição limitada;;; R$ 25,90 ; R$ 32,90 
07/01/2017;13/02/2017;37;franquia;;;adulto;;;masculino;41;;135;72;5216;BIQUINI BOTTOM HAVAIANAS SUNSET PREM;verao;;; R$ 21,90 ; R$ 32,90 
07/01/2020;11/01/2020;4;franquia;;;infantil;;;feminino;19;;231;45;6225;SANDALIA HAVAIANAS KIDS STARS;inverno;;; R$ 15,90 ; R$ 26,90 
07/01/2017;01/02/2017;25;franquia;;;adulto;;;masculino;43;;263;80;8259;TOALHA HAVAIANAS FUN                    ;edição limitada;;; R$ 32,90 ; R$ 42,90 
07/01/2017;09/02/2017;33;franquia;;;adulto;;;unisex;34;;175;59;7232;BLUSA HAVAIANAS EVASE ONDA NOVA         ;outono;;; R$ 19,90 ; R$ 26,90 
07/01/2017;29/01/2017;22;franquia;;;infantil;;;masculino;21;;218;70;5216;BIQUINI BOTTOM HAVAIANAS SUNSET PREM;verao;;; R$ 21,90 ; R$ 32,90 
07/01/2020;16/01/2020;9;Infantil;;;infantil;;;feminino;20;;171;87;6227;SANDALIA HAVAIANAS KIDS MONSTERS        ;inverno;;; R$ 15,90 ; R$ 26,90 
07/01/2017;08/02/2017;32;Infantil;;;infantil;;;feminino;25;;85;50;7240;BLUSA M/C HAVAIANAS JAPONESA            ;outono;;; R$ 21,90 ; R$ 36,90 
07/01/2017;05/02/2017;29;franquia;;;infantil;;;feminino;11;;300;59;8244;TOALHA HAVAIANAS FELPA P                ;edição limitada;;; R$ 25,90 ; R$ 32,90 
07/01/2017;17/01/2017;10;franquia;;;adulto;;;unisex;44;;230;45;7234;BLUSA HAVAIANAS TRANSPASSADO MIX        ;outono;;; R$ 16,00 ; R$ 26,90 
07/01/2020;22/01/2020;15;franquia;;;infantil;;;unisex;18;;230;74;6228;SANDALIA HAVAIANAS TROPICAL C/ KIT      ;inverno;;; R$ 15,90 ; R$ 26,90 
07/01/2017;13/02/2017;37;franquia;;;infantil;;;unisex;10;;286;39;7231;BLUSA HAVAIANAS OMBRO DESL REDE CESTARIA;outono;;; R$ 16,90 ; R$ 26,90 
07/01/2017;23/01/2017;16;Infantil;;;infantil;;;masculino;17;;148;82;8244;TOALHA HAVAIANAS FELPA P                ;edição limitada;;; R$ 25,90 ; R$ 32,90 
07/01/2020;02/02/2020;26;Infantil;;;adulto;;;feminino;32;;95;87;6221;SANDALIA HAVAIANAS JOY         ;inverno;;; R$ 15,90 ; R$ 26,90 
07/01/2017;25/01/2017;18;franquia;;;adulto;;;masculino;45;;114;39;7230;BLUSA HAVAIANAS ASSIM MIX REDE CESTARIA ;outono;;; R$ 21,90 ; R$ 32,90 
07/01/2017;29/01/2017;22;franquia;;;infantil;;;unisex;26;;158;41;7238;BLUSA HAVAIANAS VOL LAT DEGRADE ARROZ   ;outono;;; R$ 21,90 ; R$ 36,90 
07/01/2017;25/01/2017;18;franquia;;;infantil;;;unisex;25;;318;93;5220;BIQUINI BOTTOM HAVAIANAS HIBISCO GI     ;verao;;; R$ 16,00 ; R$ 25,90 
07/01/2020;11/02/2020;35;Infantil;;;infantil;;;masculino;26;;340;57;6228;SANDALIA HAVAIANAS TROPICAL C/ KIT      ;inverno;;; R$ 20,90 ; R$ 36,90 
07/01/2017;30/01/2017;23;franquia;;;adulto;;;feminino;40;;96;78;7241;BLUSA HAVAIANAS QUADRADO DEC ABERTO     ;outono;;; R$ 21,90 ; R$ 32,90 
07/01/2017;10/01/2017;3;Infantil;;;adulto;;;feminino;35;;252;60;8266;TOALHA HAVAIANAS FUN N                  ;edição limitada;;; R$ 25,90 ; R$ 32,90 
07/01/2017;25/01/2017;18;franquia;;;adulto;;;unisex;46;;90;78;8265;TOALHA HAVAIANAS ANIMALS N              ;edição limitada;;; R$ 25,90 ; R$ 32,90 
07/01/2017;12/01/2017;5;franquia;;;adulto;;;masculino;30;;303;74;5218;BIQUINI BOTTOM HAVAIANAS HIBISC         ;verao;;; R$ 19,00 ; R$ 25,90 
07/01/2020;12/02/2020;36;franquia;;;adulto;;;feminino;33;;96;86;6226;SANDALIA HAVAIANAS KIDS RADICAL         ;inverno;;; R$ 15,90 ; R$ 26,90 
07/01/2020;01/02/2020;25;Infantil;;;adulto;;;unisex;41;;259;45;6221;SANDALIA HAVAIANAS JOY         ;inverno;;; R$ 25,90 ; R$ 36,90 
07/01/2017;24/01/2017;17;Infantil;;;infantil;;;unisex;26;;99;94;7234;BLUSA HAVAIANAS TRANSPASSADO MIX        ;outono;;; R$ 16,00 ; R$ 26,90 
07/01/2017;07/02/2017;31;franquia;;;infantil;;;feminino;13;;261;45;8258;TOALHA HAVAIANAS ANIMALS                ;edição limitada;;; R$ 32,90 ; R$ 42,90 
07/01/2017;13/02/2017;37;franquia;;;adulto;;;unisex;36;;216;38;8252;CHAVEIRO HAVAIANAS ORIGINE              ;edição limitada;;; R$ 25,90 ; R$ 32,90 
07/01/2017;22/01/2017;15;Infantil;;;infantil;;;unisex;10;;286;87;8247;CHAVEIRO HAVAIANAS LOGO METALICO        ;edição limitada;;; R$ 25,90 ; R$ 32,90 
07/01/2017;11/01/2017;4;franquia;;;infantil;;;unisex;28;;249;79;7236;BLUSA HAVAIANAS EVASE                   ;outono;;; R$ 21,90 ; R$ 32,90 
07/01/2017;13/01/2017;6;Infantil;;;infantil;;;unisex;10;;319;84;5217;BIQUINI BOTTOM HAVAIANAS SUNSET       ;verao;;; R$ 17,90 ; R$ 26,90 
07/01/2020;11/02/2020;35;franquia;;;adulto;;;unisex;31;;286;92;6226;SANDALIA HAVAIANAS KIDS RADICAL         ;inverno;;; R$ 20,90 ; R$ 36,90 
07/01/2017;31/01/2017;24;franquia;;;adulto;;;masculino;46;;212;40;7234;BLUSA HAVAIANAS TRANSPASSADO MIX        ;outono;;; R$ 16,00 ; R$ 26,90 
07/01/2017;31/01/2017;24;Infantil;;;adulto;;;masculino;40;;348;67;5218;BIQUINI BOTTOM HAVAIANAS HIBISC         ;verao;;; R$ 19,00 ; R$ 25,90 
07/01/2017;12/01/2017;5;Infantil;;;adulto;;;masculino;37;;174;77;8250;TOALHA HAVAIANAS VELUDO BICOLOR M       ;edição limitada;;; R$ 25,90 ; R$ 32,90 
07/01/2020;31/01/2020;24;Infantil;;;adulto;;;masculino;42;;232;90;6221;SANDALIA HAVAIANAS JOY         ;inverno;;; R$ 15,90 ; R$ 26,90 
07/01/2017;10/02/2017;34;Infantil;;;adulto;;;unisex;36;;76;46;5220;BIQUINI BOTTOM HAVAIANAS HIBISCO GI     ;verao;;; R$ 16,00 ; R$ 25,90 
07/01/2017;09/01/2017;2;Infantil;;;adulto;;;unisex;43;;332;39;8266;TOALHA HAVAIANAS FUN N                  ;edição limitada;;; R$ 25,90 ; R$ 32,90 
07/01/2017;13/02/2017;37;franquia;;;infantil;;;masculino;20;;224;75;7238;BLUSA HAVAIANAS VOL LAT DEGRADE ARROZ   ;outono;;; R$ 21,90 ; R$ 36,90 
07/01/2017;06/02/2017;30;Infantil;;;infantil;;;feminino;12;;245;92;5216;BIQUINI BOTTOM HAVAIANAS SUNSET PREM;verao;;; R$ 21,90 ; R$ 32,90 
07/01/2020;13/02/2020;37;Infantil;;;adulto;;;unisex;32;;81;76;6223;SANDALIA HAVAIANAS PETS                 ;inverno;;; R$ 15,90 ; R$ 26,90 
07/01/2020;08/02/2020;32;franquia;;;infantil;;;unisex;27;;332;50;6222;SANDALIA HAVAIANAS BABY ESTAMPAS        ;inverno;;; R$ 15,90 ; R$ 26,90 
07/01/2020;20/01/2020;13;Infantil;;;adulto;;;feminino;45;;88;63;6224;SANDALIA HAVAIANAS KIDS FLORES;inverno;;; R$ 15,90 ; R$ 26,90 
07/01/2017;27/01/2017;20;Infantil;;;infantil;;;unisex;19;;257;86;5217;BIQUINI BOTTOM HAVAIANAS SUNSET       ;verao;;; R$ 17,90 ; R$ 26,90 
07/01/2020;13/02/2020;37;Infantil;;;adulto;;;feminino;36;;348;64;6226;SANDALIA HAVAIANAS KIDS RADICAL         ;inverno;;; R$ 20,90 ; R$ 36,90 
07/01/2017;17/01/2017;10;Infantil;;;adulto;;;masculino;44;;95;83;8248;TOALHA HAVAIANAS LOGO VELUDO M          ;edição limitada;;; R$ 32,90 ; R$ 42,90 
07/01/2017;26/01/2017;19;franquia;;;adulto;;;unisex;33;;184;92;5219;BIQUINI BOTTOM HAVAIANAS TREN;verao;;; R$ 16,00 ; R$ 26,90 
07/01/2017;10/02/2017;34;franquia;;;infantil;;;unisex;14;;87;77;8264;BÓIA HAVAIANAS INFLÁVEL                 ;edição limitada;;; R$ 32,90 ; R$ 42,90 
07/01/2017;12/01/2017;5;Infantil;;;infantil;;;unisex;18;;208;51;7236;BLUSA HAVAIANAS EVASE                   ;outono;;; R$ 21,90 ; R$ 32,90 
07/01/2017;08/02/2017;32;franquia;;;adulto;;;masculino;41;;64;60;7235;BLUSA HAVAIANAS Y MIX                   ;outono;;; R$ 21,90 ; R$ 36,90 
07/01/2017;02/02/2017;26;franquia;;;infantil;;;feminino;13;;192;83;8265;TOALHA HAVAIANAS ANIMALS N              ;edição limitada;;; R$ 25,90 ; R$ 32,90 
07/01/2020;10/01/2020;3;franquia;;;infantil;;;masculino;15;;56;58;6224;SANDALIA HAVAIANAS KIDS FLORES;inverno;;; R$ 20,90 ; R$ 36,90 
07/01/2017;12/01/2017;5;franquia;;;infantil;;;masculino;18;;259;83;8253;CHAVEIRO HAVAIANAS LOGO                 ;edição limitada;;; R$ 32,90 ; R$ 42,90 
07/01/2017;12/02/2017;36;franquia;;;adulto;;;feminino;44;;161;59;8255;MEIA HAVAIANAS GRAPHIC                  ;edição limitada;;; R$ 32,90 ; R$ 42,90 
07/01/2020;16/01/2020;9;Infantil;;;infantil;;;unisex;11;;212;59;6227;SANDALIA HAVAIANAS KIDS MONSTERS        ;inverno;;; R$ 20,90 ; R$ 36,90 
07/01/2017;27/01/2017;20;Infantil;;;adulto;;;masculino;39;;237;67;5215;BIQUINI BOTTOM HAVAIANAS ARGOLA BRO     ;verao;;; R$ 16,90 ; R$ 25,90 
07/01/2020;16/01/2020;9;Infantil;;;infantil;;;unisex;10;;130;39;6223;SANDALIA HAVAIANAS PETS                 ;inverno;;; R$ 15,90 ; R$ 26,90 
07/01/2017;21/01/2017;14;franquia;;;adulto;;;masculino;31;;283;73;8266;TOALHA HAVAIANAS FUN N                  ;edição limitada;;; R$ 25,90 ; R$ 32,90 
07/01/2017;16/01/2017;9;Infantil;;;infantil;;;unisex;29;;331;37;7230;BLUSA HAVAIANAS ASSIM MIX REDE CESTARIA ;outono;;; R$ 21,90 ; R$ 32,90 
07/01/2017;11/01/2017;4;franquia;;;infantil;;;unisex;22;;178;44;7241;BLUSA HAVAIANAS QUADRADO DEC ABERTO     ;outono;;; R$ 21,90 ; R$ 32,90 
07/01/2017;13/02/2017;37;Infantil;;;adulto;;;masculino;35;;320;58;8258;TOALHA HAVAIANAS ANIMALS                ;edição limitada;;; R$ 32,90 ; R$ 42,90 
07/01/2017;02/02/2017;26;Infantil;;;infantil;;;unisex;14;;90;68;7235;BLUSA HAVAIANAS Y MIX                   ;outono;;; R$ 21,90 ; R$ 36,90 
07/01/2017;07/02/2017;31;Infantil;;;adulto;;;feminino;37;;202;80;7234;BLUSA HAVAIANAS TRANSPASSADO MIX        ;outono;;; R$ 16,00 ; R$ 26,90 
07/01/2020;02/02/2020;26;franquia;;;infantil;;;masculino;21;;214;79;6221;SANDALIA HAVAIANAS JOY         ;inverno;;; R$ 25,90 ; R$ 36,90 
07/01/2017;16/01/2017;9;Infantil;;;adulto;;;masculino;38;;152;49;5215;BIQUINI BOTTOM HAVAIANAS ARGOLA BRO     ;verao;;; R$ 16,90 ; R$ 25,90 
07/01/2017;16/01/2017;9;Infantil;;;adulto;;;feminino;31;;114;41;7230;BLUSA HAVAIANAS ASSIM MIX REDE CESTARIA ;outono;;; R$ 21,90 ; R$ 32,90 
07/01/2017;16/01/2017;9;franquia;;;infantil;;;feminino;19;;186;80;8256;CHAVEIRO HAVAIANAS LOGO METAL MOSQUETÃO ;edição limitada;;; R$ 32,90 ; R$ 42,90 
07/01/2017;12/02/2017;36;Infantil;;;adulto;;;unisex;46;;51;60;5218;BIQUINI BOTTOM HAVAIANAS HIBISC         ;verao;;; R$ 19,00 ; R$ 25,90 
07/01/2017;11/02/2017;35;franquia;;;adulto;;;feminino;37;;69;88;8246;BOLSA HAVAIANAS SHOPPING BAG            ;edição limitada;;; R$ 25,90 ; R$ 32,90 
07/01/2017;03/02/2017;27;franquia;;;adulto;;;masculino;35;;170;51;8248;TOALHA HAVAIANAS LOGO VELUDO M          ;edição limitada;;; R$ 32,90 ; R$ 42,90 
07/01/2017;05/02/2017;29;Infantil;;;adulto;;;feminino;30;;266;58;5220;BIQUINI BOTTOM HAVAIANAS HIBISCO GI     ;verao;;; R$ 16,00 ; R$ 25,90 
07/01/2017;05/02/2017;29;Infantil;;;infantil;;;unisex;29;;88;64;8263;CAPA HAVAIANAS TABLET                   ;edição limitada;;; R$ 25,90 ; R$ 32,90 
07/01/2020;06/02/2020;30;franquia;;;adulto;;;masculino;36;;206;79;6223;SANDALIA HAVAIANAS PETS                 ;inverno;;; R$ 20,90 ; R$ 36,90 
07/01/2017;03/02/2017;27;franquia;;;adulto;;;feminino;31;;341;45;5218;BIQUINI BOTTOM HAVAIANAS HIBISC         ;verao;;; R$ 19,00 ; R$ 25,90 
07/01/2020;22/01/2020;15;franquia;;;adulto;;;masculino;35;;323;51;6228;SANDALIA HAVAIANAS TROPICAL C/ KIT      ;inverno;;; R$ 15,90 ; R$ 26,90 
07/01/2017;13/01/2017;6;Infantil;;;adulto;;;unisex;32;;59;37;7236;BLUSA HAVAIANAS EVASE                   ;outono;;; R$ 21,90 ; R$ 32,90 
07/01/2017;14/01/2017;7;franquia;;;adulto;;;feminino;35;;163;44;8251;CHAVEIRO HAVAIANAS CRYSTAL              ;edição limitada;;; R$ 32,90 ; R$ 42,90 
07/01/2017;27/01/2017;20;franquia;;;infantil;;;unisex;15;;262;67;8263;CAPA HAVAIANAS TABLET                   ;edição limitada;;; R$ 25,90 ; R$ 32,90 
07/01/2017;07/02/2017;31;Infantil;;;adulto;;;feminino;32;;98;48;8244;TOALHA HAVAIANAS FELPA P                ;edição limitada;;; R$ 25,90 ; R$ 32,90 
07/01/2017;10/01/2017;3;Infantil;;;adulto;;;feminino;33;;51;46;5216;BIQUINI BOTTOM HAVAIANAS SUNSET PREM;verao;;; R$ 21,90 ; R$ 32,90 
07/01/2020;28/01/2020;21;franquia;;;infantil;;;feminino;11;;311;57;6227;SANDALIA HAVAIANAS KIDS MONSTERS        ;inverno;;; R$ 20,90 ; R$ 36,90 
07/01/2017;18/01/2017;11;franquia;;;infantil;;;feminino;27;;151;45;8259;TOALHA HAVAIANAS FUN                    ;edição limitada;;; R$ 32,90 ; R$ 42,90 
07/01/2020;18/01/2020;11;franquia;;;adulto;;;unisex;36;;338;58;6226;SANDALIA HAVAIANAS KIDS RADICAL         ;inverno;;; R$ 15,90 ; R$ 26,90 
07/01/2017;13/02/2017;37;franquia;;;adulto;;;unisex;43;;305;88;7238;BLUSA HAVAIANAS VOL LAT DEGRADE ARROZ   ;outono;;; R$ 21,90 ; R$ 36,90 
07/01/2020;03/02/2020;27;Infantil;;;adulto;;;masculino;43;;334;42;6228;SANDALIA HAVAIANAS TROPICAL C/ KIT      ;inverno;;; R$ 20,90 ; R$ 36,90 
07/01/2020;23/01/2020;16;Infantil;;;infantil;;;feminino;10;;348;94;6228;SANDALIA HAVAIANAS TROPICAL C/ KIT      ;inverno;;; R$ 15,90 ; R$ 26,90 
07/01/2017;21/01/2017;14;franquia;;;infantil;;;feminino;20;;116;60;7238;BLUSA HAVAIANAS VOL LAT DEGRADE ARROZ   ;outono;;; R$ 21,90 ; R$ 36,90 
07/01/2020;22/01/2020;15;franquia;;;infantil;;;unisex;24;;326;86;6221;SANDALIA HAVAIANAS JOY         ;inverno;;; R$ 15,90 ; R$ 26,90 
07/01/2020;10/01/2020;3;Infantil;;;infantil;;;masculino;15;;91;71;6222;SANDALIA HAVAIANAS BABY ESTAMPAS        ;inverno;;; R$ 20,90 ; R$ 36,90 
07/01/2017;12/01/2017;5;franquia;;;infantil;;;unisex;12;;335;93;8245;MEIA HAVAIANAS DEDOS DIVERTIDOS         ;edição limitada;;; R$ 25,90 ; R$ 32,90 
07/01/2017;22/01/2017;15;franquia;;;adulto;;;unisex;31;;259;61;5218;BIQUINI BOTTOM HAVAIANAS HIBISC         ;verao;;; R$ 19,00 ; R$ 25,90 
07/01/2017;11/01/2017;4;franquia;;;adulto;;;feminino;30;;60;94;7233;BLUSA HAVAIANAS Y                       ;outono;;; R$ 16,00 ; R$ 26,90 
07/01/2017;06/02/2017;30;Infantil;;;infantil;;;masculino;19;;198;52;5216;BIQUINI BOTTOM HAVAIANAS SUNSET PREM;verao;;; R$ 21,90 ; R$ 32,90 
07/01/2017;28/01/2017;21;franquia;;;infantil;;;feminino;17;;209;83;5216;BIQUINI BOTTOM HAVAIANAS SUNSET PREM;verao;;; R$ 21,90 ; R$ 32,90 
07/01/2020;31/01/2020;24;Infantil;;;adulto;;;masculino;34;;54;78;6227;SANDALIA HAVAIANAS KIDS MONSTERS        ;inverno;;; R$ 20,90 ; R$ 36,90 
07/01/2017;13/02/2017;37;Infantil;;;adulto;;;masculino;36;;215;69;8260;MEIA HAVAIANAS ANIMALS                  ;edição limitada;;; R$ 32,90 ; R$ 42,90 
07/01/2017;12/02/2017;36;Infantil;;;adulto;;;unisex;42;;144;86;5219;BIQUINI BOTTOM HAVAIANAS TREN;verao;;; R$ 16,00 ; R$ 26,90 
07/01/2017;15/01/2017;8;franquia;;;adulto;;;feminino;46;;170;74;5215;BIQUINI BOTTOM HAVAIANAS ARGOLA BRO     ;verao;;; R$ 16,90 ; R$ 25,90 
07/01/2017;13/01/2017;6;Infantil;;;adulto;;;feminino;44;;63;75;8245;MEIA HAVAIANAS DEDOS DIVERTIDOS         ;edição limitada;;; R$ 25,90 ; R$ 32,90 
07/01/2017;29/01/2017;22;Infantil;;;infantil;;;unisex;12;;312;87;5215;BIQUINI BOTTOM HAVAIANAS ARGOLA BRO     ;verao;;; R$ 16,90 ; R$ 25,90 
07/01/2020;03/02/2020;27;franquia;;;adulto;;;masculino;36;;241;42;6227;SANDALIA HAVAIANAS KIDS MONSTERS        ;inverno;;; R$ 25,90 ; R$ 36,90 
07/01/2017;08/02/2017;32;Infantil;;;adulto;;;unisex;38;;201;54;8263;CAPA HAVAIANAS TABLET                   ;edição limitada;;; R$ 25,90 ; R$ 32,90 
07/01/2017;11/01/2017;4;franquia;;;adulto;;;unisex;34;;183;48;5217;BIQUINI BOTTOM HAVAIANAS SUNSET       ;verao;;; R$ 17,90 ; R$ 26,90 
07/01/2017;25/01/2017;18;franquia;;;infantil;;;masculino;29;;311;68;5220;BIQUINI BOTTOM HAVAIANAS HIBISCO GI     ;verao;;; R$ 16,00 ; R$ 25,90 
07/01/2020;10/01/2020;3;Infantil;;;infantil;;;unisex;22;;348;76;6226;SANDALIA HAVAIANAS KIDS RADICAL         ;inverno;;; R$ 25,90 ; R$ 36,90 
07/01/2017;01/02/2017;25;Infantil;;;adulto;;;unisex;32;;69;96;7238;BLUSA HAVAIANAS VOL LAT DEGRADE ARROZ   ;outono;;; R$ 21,90 ; R$ 36,90 
07/01/2017;22/01/2017;15;Infantil;;;adulto;;;unisex;30;;130;42;8250;TOALHA HAVAIANAS VELUDO BICOLOR M       ;edição limitada;;; R$ 25,90 ; R$ 32,90 
07/01/2017;31/01/2017;24;franquia;;;infantil;;;masculino;11;;252;92;7233;BLUSA HAVAIANAS Y                       ;outono;;; R$ 16,00 ; R$ 26,90 
07/01/2017;08/02/2017;32;franquia;;;adulto;;;unisex;46;;132;81;8242;SACOLA HAVAIANAS ORIGINAL COQUEIRO      ;edição limitada;;; R$ 25,90 ; R$ 32,90 
07/01/2017;02/02/2017;26;franquia;;;infantil;;;unisex;21;;274;37;5219;BIQUINI BOTTOM HAVAIANAS TREN;verao;;; R$ 16,00 ; R$ 26,90 
